VIN,VDD,VSS,VREF,VOUT,IIN,IDD,ISS
1.45,3.0,0.0,1.0,0.54302,2.15e-12,2.4936e-06,-2.4932e-06
1.5,3.0,0.0,1.0,0.58316,-9.5e-13,2.5623e-06,-2.5619e-06
1.55,3.0,0.0,1.0,0.62544,9.96e-12,2.6216e-06,-2.6213e-06
1.6,3.0,0.0,1.0,0.66914,1.1e-13,2.6709e-06,-2.6703e-06
1.65,3.0,0.0,1.0,0.7135,-1.24e-12,2.7092e-06,-2.7087e-06
1.7,3.0,0.0,1.0,0.7597,-6.14e-12,2.7394e-06,-2.7388e-06
1.75,3.0,0.0,1.0,0.80626,2.5e-13,2.7605e-06,-2.7603e-06
1.8,3.0,0.0,1.0,0.8544,-3.73e-12,2.7754e-06,-2.775e-06
1.85,3.0,0.0,1.0,0.90328,1.33e-12,2.785e-06,-2.7846e-06
1.9,3.0,0.0,1.0,0.95174,5e-14,2.7905e-06,-2.7898e-06
1.95,3.0,0.0,1.0,1.00152,5.16e-12,2.7934e-06,-2.7931e-06
2.0,3.0,0.0,1.0,1.05118,2.77e-12,2.7945e-06,-2.794e-06
2.05,3.0,0.0,1.0,1.1006,3.18e-12,2.7947e-06,-2.7945e-06
2.1,3.0,0.0,1.0,1.15076,-4.85e-12,2.7945e-06,-2.794e-06
2.15,3.0,0.0,1.0,1.20078,-5.47e-12,2.7938e-06,-2.7944e-06
2.2,3.0,0.0,1.0,1.25016,7e-13,2.7937e-06,-2.793e-06
2.25,3.0,0.0,1.0,1.30028,6.25e-12,2.7926e-06,-2.792e-06
2.3,3.0,0.0,1.0,1.34958,2.3e-12,2.7919e-06,-2.7915e-06
2.35,3.0,0.0,1.0,1.39974,-1.61e-12,2.7912e-06,-2.7909e-06
2.4,3.0,0.0,1.0,1.45008,-2.3e-13,2.7903e-06,-2.7897e-06
2.45,3.0,0.0,1.0,1.49928,1.16e-12,2.7894e-06,-2.7891e-06
2.5,3.0,0.0,1.0,1.54952,-4.6e-12,2.7889e-06,-2.7877e-06
2.55,3.0,0.0,1.0,1.59962,-1.65e-12,2.7876e-06,-2.7873e-06
2.6,3.0,0.0,1.0,1.64898,5e-14,2.7872e-06,-2.7865e-06
2.65,3.0,0.0,1.0,1.69926,4.19e-12,2.7867e-06,-2.7868e-06
2.7,3.0,0.0,1.0,1.74934,1.51e-12,2.786e-06,-2.7853e-06
2.75,3.0,0.0,1.0,1.79872,-2.76e-12,2.785e-06,-2.7846e-06
2.8,3.0,0.0,1.0,1.84898,1.87e-12,2.7844e-06,-2.7833e-06
2.85,3.0,0.0,1.0,1.89908,4.49e-12,2.7833e-06,-2.7827e-06
2.9,3.0,0.0,1.0,1.94838,-5.41e-12,2.7828e-06,-2.7825e-06
2.95,3.0,0.0,1.0,1.99834,-1e-14,2.7816e-06,-2.7812e-06
3.0,3.0,0.0,1.0,2.04732,7.6e-13,2.7809e-06,-2.7803e-06
0.0,3.0,0.0,1.5,6e-05,-7.67e-12,4.4356e-10,-4.3465e-10
0.05,3.0,0.0,1.5,0.00016,4.956e-11,1.8383e-09,-1.8783e-09
0.1,3.0,0.0,1.5,0.00038,-1.231e-11,6.0387e-09,-5.9133e-09
0.15,3.0,0.0,1.5,0.00104,4.056e-11,1.5604e-08,-1.5553e-08
0.2,3.0,0.0,1.5,0.00224,-1.665e-11,3.2975e-08,-3.3048e-08
0.25,3.0,0.0,1.5,0.00402,-1.328e-11,6.04e-08,-6.0383e-08
0.3,3.0,0.0,1.5,0.0067,1.199e-11,1.00144e-07,-1.00245e-07
0.35,3.0,0.0,1.5,0.01028,2.75e-12,1.5318e-07,-1.5317e-07
0.4,3.0,0.0,1.5,0.01474,-8.12e-12,2.1951e-07,-2.1948e-07
0.45,3.0,0.0,1.5,0.0203,6.5e-12,3.0114e-07,-3.013e-07
0.5,3.0,0.0,1.5,0.0269,-7.8e-13,3.9771e-07,-3.9771e-07
0.55,3.0,0.0,1.5,0.03448,-2.99e-12,5.0678e-07,-5.0703e-07
0.6,3.0,0.0,1.5,0.04316,3.77e-12,6.3182e-07,-6.3171e-07
0.65,3.0,0.0,1.5,0.05274,-3.17e-12,7.6823e-07,-7.6831e-07
0.7,3.0,0.0,1.5,0.06358,3.86e-12,9.201e-07,-9.2023e-07
0.75,3.0,0.0,1.5,0.07542,-1.4e-12,1.08431e-06,-1.08445e-06
0.8,3.0,0.0,1.5,0.08814,-2.41e-12,1.2567e-06,-1.2562e-06
0.85,3.0,0.0,1.5,0.1019,7.5e-13,1.4431e-06,-1.4428e-06
0.9,3.0,0.0,1.5,0.1168,-1.18e-12,1.6406e-06,-1.64e-06
0.95,3.0,0.0,1.5,0.13244,-4.41e-12,1.8432e-06,-1.8429e-06
1.0,3.0,0.0,1.5,0.14926,1.78e-12,2.0579e-06,-2.0578e-06
1.05,3.0,0.0,1.5,0.16706,-6.8e-13,2.2798e-06,-2.2798e-06
1.1,3.0,0.0,1.5,0.1855,6.43e-12,2.5052e-06,-2.5046e-06
1.15,3.0,0.0,1.5,0.20524,3.78e-12,2.7397e-06,-2.7393e-06
1.2,3.0,0.0,1.5,0.22556,7.4e-12,2.9756e-06,-2.9752e-06
1.25,3.0,0.0,1.5,0.24712,-5.99e-12,3.2186e-06,-3.2182e-06
1.3,3.0,0.0,1.5,0.26964,-6.15e-12,3.465e-06,-3.4644e-06
1.35,3.0,0.0,1.5,0.29264,-3.44e-12,3.7095e-06,-3.7093e-06
1.4,3.0,0.0,1.5,0.31696,-1.8e-12,3.959e-06,-3.958e-06
1.45,3.0,0.0,1.5,0.34212,3.21e-12,4.2091e-06,-4.2091e-06
1.5,3.0,0.0,1.5,0.3679,1.265e-11,4.4551e-06,-4.4545e-06
1.55,3.0,0.0,1.5,0.39484,3.1e-12,4.7033e-06,-4.7032e-06
1.6,3.0,0.0,1.5,0.42292,-4.47e-12,4.9498e-06,-4.9493e-06
1.65,3.0,0.0,1.5,0.45122,-5.46e-12,5.1884e-06,-5.1883e-06
1.7,3.0,0.0,1.5,0.48106,-5.21e-12,5.4274e-06,-5.4267e-06
1.75,3.0,0.0,1.5,0.51112,-2.84e-12,5.6572e-06,-5.6568e-06
1.8,3.0,0.0,1.5,0.5428,2.89e-12,5.8856e-06,-5.885e-06
1.85,3.0,0.0,1.5,0.57528,8.49e-12,6.1067e-06,-6.1066e-06
1.9,3.0,0.0,1.5,0.60828,-2.79e-12,6.3177e-06,-6.3173e-06
1.95,3.0,0.0,1.5,0.64278,-1e-13,6.5238e-06,-6.5236e-06
2.0,3.0,0.0,1.5,0.67806,-9.24e-12,6.7207e-06,-6.7198e-06
2.05,3.0,0.0,1.5,0.71378,-2.63e-12,6.9052e-06,-6.9048e-06
2.1,3.0,0.0,1.5,0.7511,1.39e-12,7.0821e-06,-7.0818e-06
2.15,3.0,0.0,1.5,0.78924,5.83e-12,7.2479e-06,-7.2477e-06
2.2,3.0,0.0,1.5,0.82788,7e-12,7.3993e-06,-7.3988e-06
2.25,3.0,0.0,1.5,0.86806,-2.91e-12,7.5415e-06,-7.5412e-06
2.3,3.0,0.0,1.5,0.90856,-3.78e-12,7.6688e-06,-7.6685e-06
2.35,3.0,0.0,1.5,0.95068,2.15e-12,7.785e-06,-7.7856e-06
2.4,3.0,0.0,1.5,0.99362,-2.38e-12,7.889e-06,-7.8888e-06
2.45,3.0,0.0,1.5,1.037,-7.14e-12,7.9776e-06,-7.9772e-06
2.5,3.0,0.0,1.5,1.08176,9.14e-12,8.0558e-06,-8.055e-06
2.55,3.0,0.0,1.5,1.12756,5.8e-13,8.1208e-06,-8.1207e-06
2.6,3.0,0.0,1.5,1.17348,-1.05e-12,8.1735e-06,-8.1725e-06
2.65,3.0,0.0,1.5,1.2206,-1.83e-12,8.2164e-06,-8.2172e-06
2.7,3.0,0.0,1.5,1.26844,-2.23e-12,8.2501e-06,-8.2495e-06
2.75,3.0,0.0,1.5,1.31618,-1.81e-12,8.2741e-06,-8.2733e-06
2.8,3.0,0.0,1.5,1.3649,2.95e-12,8.2925e-06,-8.2919e-06
2.85,3.0,0.0,1.5,1.4141,-3.4e-13,8.305e-06,-8.3047e-06
2.9,3.0,0.0,1.5,1.46268,-3.14e-12,8.3131e-06,-8.3121e-06
2.95,3.0,0.0,1.5,1.51214,8.2e-13,8.3179e-06,-8.3173e-06
3.0,3.0,0.0,1.5,1.5608,1.45e-12,8.3205e-06,-8.3204e-06
0.0,3.0,0.0,2.0,6e-05,1.282e-11,3.8426e-10,-3.7374e-10
0.05,3.0,0.0,2.0,6e-05,-4.59e-12,1.694e-09,-1.6221e-09
0.1,3.0,0.0,2.0,0.00026,-4.01e-12,5.3463e-09,-5.2176e-09
0.15,3.0,0.0,2.0,0.00066,5e-13,1.4097e-08,-1.4076e-08
0.2,3.0,0.0,2.0,0.00134,-2.79e-12,3.06e-08,-3.0517e-08
0.25,3.0,0.0,2.0,0.0025,4.1e-12,5.6986e-08,-5.7089e-08
0.3,3.0,0.0,2.0,0.00422,-1.8e-13,9.6186e-08,-9.5991e-08
0.35,3.0,0.0,2.0,0.00656,1.1e-13,1.4929e-07,-1.4916e-07
0.4,3.0,0.0,2.0,0.00944,1.01e-12,2.1704e-07,-2.1717e-07
0.45,3.0,0.0,2.0,0.0132,8.73e-12,3.0189e-07,-3.0153e-07
0.5,3.0,0.0,2.0,0.01768,4.89e-12,4.0363e-07,-4.0371e-07
0.55,3.0,0.0,2.0,0.0229,-5.25e-12,5.2052e-07,-5.2047e-07
0.6,3.0,0.0,2.0,0.02892,-6.28e-12,6.5639e-07,-6.5641e-07
0.65,3.0,0.0,2.0,0.03564,-4.03e-12,8.0678e-07,-8.0705e-07
0.7,3.0,0.0,2.0,0.04324,2.27e-12,9.7679e-07,-9.7688e-07
0.75,3.0,0.0,2.0,0.05164,4.39e-12,1.1629e-06,-1.1623e-06
0.8,3.0,0.0,2.0,0.06068,-6.8e-13,1.362e-06,-1.3617e-06
0.85,3.0,0.0,2.0,0.07074,-1.53e-12,1.5802e-06,-1.5795e-06
0.9,3.0,0.0,2.0,0.08152,8.6e-13,1.8133e-06,-1.8129e-06
0.95,3.0,0.0,2.0,0.0929,3.96e-12,2.0572e-06,-2.057e-06
1.0,3.0,0.0,2.0,0.10522,-3.48e-12,2.3188e-06,-2.318e-06
1.05,3.0,0.0,2.0,0.1183,-5.7e-13,2.5932e-06,-2.5927e-06
1.1,3.0,0.0,2.0,0.13192,-3.99e-12,2.8764e-06,-2.8757e-06
